game_id,moves,num_moves
31,e4 e5 d3 Bc5 f3 Qf6 Nc3 c6 b4 Bf2+ Kxf2 d5 Ke1 d4 Na4 Nh6 g4 Nxg4 h3 Nf2 Kxf2 Bxh3 Rxh3 O-O Nc5 b6 Nb7 Nd7 Ke1 Rab8 Nd6 Qxd6 c3 Qg6 Ne2 dxc3 f4 exf4 Nxf4 Qg5 Ne2 Qe5 b5 c2 Qd2 Qxa1 Qxc2 Qf6 e5 Qxe5 d4 Qxb5 Rxh7 f6 Nc3 Qb4 Bc4+ Qxc4 Bf4 g5 Bxb8 Nxb8 d5 g4 dxc6 Nxc6 Kf2 Qf4+ Ke1 g3 Qg2 Kxh7 Qxc6 Qf2+ Kd1 g2 Ne4 g1=Q#,78
32,e4 e5 Nf3 Nf6 Bc4 Nxe4 Nc3 Nxc3 dxc3 d6 Be3 Be7 h3 Nc6 O-O O-O a3 Kh8 b4 f5 b5 Na5 Be2 e4 Nd4 c5 Nb3 f4 Bc1 d5 f3 Be6 Nxa5 Qxa5 Bb2 Qb6 Kh1 Rad8 Qe1 c4 fxe4 dxe4 Rd1 Rxd1 Bxd1 e3 Bf3 Qxb5 Bc1 b6 Qe2 Qa5 Bxe3 fxe3 Qxe3 Qxa3 Qxe6 Bf6 Be4 Qxc3 Qd7 Qe5 Qg4 a5 Rf5 Qc3 Rh5 Qa1+ Kh2 Be5+ Rxe5 Qxe5+ Kg1 b5 Qh4 h6 Qg4 a4 Qg6 Qa1+ Kh2 Qe5+ Kh1 Kg8 Qh7+ Kf7 Qg6+ Ke7 Kg1 a3 Qc6 a2 Qb7+ Ke6 Qc6+ Qd6 Qxb5 a1=Q+,98
33,e4 e5 Nf3 Nc6 Nc3 d6 Bc4 h6 d3 Bg4 Be3 Nd4 Bxd4 exd4 Nd5 Be6 Ne5 dxe5 O-O c6 f4 cxd5 exd5 Bxd5 fxe5 Bxc4 dxc4 Bc5 Kh1 Ne7 e6 fxe6 Qh5+ g6 Qxc5 Rc8 Qe5 Rf8 Rxf8+ Kxf8 Rf1+ Nf5 Qxe6 Rc6 Qe4 Kg7 g4 Ne3 Qe5+ Kh7 Rf7+ Kg8 Qg7#,53
34,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 d6 e5 Qe7 f4 g6 Bd3 Bg7 O-O dxe5 Qa4+ Bd7 Bb5 Qc5+ Kh1 Bxb5 Qb3 Bxf1 fxe5 Ba6 e6 fxe6 Qxe6+ Qe7 Qxe7+ Nxe7 Nc3 O-O Bg5 Nf5 Re1 Rfe8 Rxe8+ Rxe8,42
35,e4 e5 Nc3 Bc5 f4 exf4 Nf3 Nh6 d4 Bb6 Bxf4 Ng4 Qe2 Qf6 Nd5 Qe6 h3 Nf6 O-O-O Qxe4 Qxe4+ Nxe4 Bxc7 Nf2 Bxb6 Nxh1 Nc7+ Ke7 Nxa8 Ng3 Bc5+ d6 Re1+ Kd7 Bb5+ Nc6 d5 dxc5 dxc6+ bxc6 Rd1+ Ke6 Nc7+ Kf6 Bxc6 Bf5 Nd5+ Kg6 Ne5+ Kg5 Nxf7+ Kg6 Nxh8+ Kh6 Nf7+ Kh5 Be8 Be6 Ne5+ Kh6 Ne3 Bxa2 Rd6+ Kg5 Nf3+ Kf4 Nd1 Ne2+ Kd2 Ng3 Rd7 Ne4+ Kd3 Be6 Rxg7 c4+ Kd4 a5 Rxh7 a4 Re7 Kf5 h4 Nf6 Ng5 Nxe8 Rxe8 Bd7 Re7 Kg4 Rxd7 Kxh4 Nf3+ Kg3 Rg7+ Kf4 Ra7 Kg3 Rxa4 Kxg2 Ne5 Kf1 Rxc4 Ke2 Nc3+ Kd2 b4 Kxc2 b5 Kb3 b6 Kc2 b7 Kb3 b8=Q+ Kc2 Ne4+ Kd1 Qe8 Ke2 Kd5 Ke3 Nf6 Kd2 Nf7 Kd3 Ke5 Kxc4 Ne4 Kd3 Qd8+ Ke3 Qd4+ Kf3 Kf5 Kg2 Ned6 Kf3 Qf4+ Ke2 Qd4 Kf3 Ke5 Kg3,144
36,e4 e5 Nf3 f5 d4 fxe4 Nxe5 Nf6 Bc4 d5 Bb3 c5 Ba4+ Bd7 Bxd7+ Nbxd7 Nxd7 Qxd7 Be3 Ng4 O-O Bd6 h3 Nh2 f4 cxd4 Kxh2 dxe3 Nc3 O-O g3 Qf5 Qxd5+ Qxd5 Nxd5 Rf5 Nxe3 Rc5 c4 a6 Nd5 b5 b3 bxc4 bxc4 Rxc4 Nb6,47
37,e4 c5 Nf3 d6 Bc4 e6 c3 Nc6 d4 b6 d5 Na5 Bb5+ Bd7 Bxd7+ Qxd7 b4 cxb4 cxb4 Nc4 Nbd2 exd5 exd5 b5 O-O Nf6 Re1+ Be7 Nxc4 bxc4 Qc2 Qb5 Bd2 Nxd5 Nd4 Qb6 Nf5 g6 Ng7+ Kf8 Bh6 Kg8 Nh5 gxh5 Qf5 Qd4 Rad1 Qf6 Qxd5 Qxh6 Qxa8+ Kg7 Qxa7 Bf6 Rxd6 Re8 Red1 Be7 Rxh6,59
38,d4 d5 c4 dxc4 e4 e5 d5 Bb4+ Bd2 Bxd2+ Qxd2 Nf6 Nc3 O-O Nf3 Qd6 Bxc4 c6 O-O cxd5 Bxd5 Nxd5 Qxd5 Qxd5 Nxd5 f6 Nc7 Bd7 Nxa8 Na6 Rad1 Bb5 Rfe1 Rxa8 Rd5 Bc6 Rd6 Nb4 Nd2 Nxa2 Nc4 Nb4 Re3 a5 Nb6 Rf8 Ra3 Bxe4 Rxa5 Nd3 b3 Nf4 g3 Nh3+ Kf1 Ng5 h4 Nf7 Rd7 Bc6 Rd1 Nh6 Nd5 Kh8 Ne7 Bf3 Rd7 Nf7 Rad5 Bxd5 Rxd5 Rd8 Rxd8+ Nxd8 Nc8 h5 b4 Kh7 Kg2 Kg6 Kf3 Nc6 b5 Nd4+ Ke4 Nxb5 Kd5 Nd4 Kc5 Kf5 Nd6+ Ke6 Nxb7 Nc2 Nd6 Ne1 Ne8 Kf7 Nd6+ Kg6 Ne4 Nd3+ Kd5 Nxf2 Nxf2 Kf5 Kd6 e4 Ke7 e3 Kf7 exf2 Kxg7,113
39,d4 d5 Nf3 Nc6 g3 f6 Bf4 e5 Bc1 e4 Nfd2 Bb4 c3 Ba5 e3 Nge7 b4 Bb6 Bg2 Bf5 O-O Qd6 c4 Nxb4 cxd5 Qxd5 Ba3 Nec6 Nc3 Qa5 Nc4 Na6,32
40,d4 c6 e4 d5 e5 e6 Nf3 Nd7 Nc3 h6 a3 f6 Bf4 fxe5 dxe5 g5 Bg3 Ne7 h4 Nf5 Bh2 Nxh4 g3 Nxf3+ Qxf3 Nxe5 Qh5+ Nf7 g4 Bd6 Bxd6 Qxd6 O-O-O Qf4+ Kb1 Qxf2 Qg6 Bd7 Bd3 O-O-O Qxf7 Qxf7,42
